ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
source2contract,Source2Contract,2025-01,Sourcing Cycle Time,13.06,18.14,0.91,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-07,Legal Loop Count,56.93,58.81,2.94,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-07,Savings Value,19.18,22.73,1.14,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-08,Sourcing Cycle Time,15.94,19.87,0.99,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-08,Contract Value At Risk,38.67,49.04,2.45,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-08,Supplier Compliance %,77.44,89.01,4.45,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-08,Legal Loop Count,32.28,38.98,1.95,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-08,Savings Value,32.89,36.15,1.81,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-09,Sourcing Cycle Time,15.31,16.75,0.84,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-09,Contract Value At Risk,9.94,15.39,0.77,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-09,Supplier Compliance %,71.66,76.88,3.84,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-09,Legal Loop Count,23.83,30.33,1.52,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-09,Savings Value,14.15,16.55,0.83,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-10,Sourcing Cycle Time,25.75,34.84,1.74,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-10,Contract Value At Risk,15.27,17.9,0.9,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-10,Supplier Compliance %,85.84,97.18,4.86,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-10,Legal Loop Count,29.28,32.01,1.6,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-10,Savings Value,54.5,56.92,2.85,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-11,Sourcing Cycle Time,50.66,51.78,2.59,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-11,Contract Value At Risk,8.42,13.01,0.65,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-11,Supplier Compliance %,83.14,82.7,4.14,Green,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-11,Legal Loop Count,20.16,23.24,1.16,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-11,Savings Value,43.14,55.82,2.79,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-12,Sourcing Cycle Time,17.05,20.13,1.01,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-12,Contract Value At Risk,37.54,43.65,2.18,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-12,Supplier Compliance %,80.7,97.13,4.86,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-12,Legal Loop Count,14.79,22.35,1.12,Red,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
source2contract,Source2Contract,2025-12,Savings Value,27.06,29.24,1.46,Amber,Source-to-Contract Process Owner,Sourcing Suite; CLM; Supplier Portal; ERP MM
