ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
supplieronboarding2risk,SupplierOnboarding2Risk,2025-01,Qualification Status,18.91,25.83,1.29,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-03,Audit Score,29.1,31.59,1.58,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-03,ESG Risk,14.24,19.25,0.96,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-03,Onboarding Aging,21.3,22.86,1.14,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-03,Supplier Risk Exposure,23.44,29.89,1.49,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-04,Qualification Status,57.83,59.63,2.98,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-04,Audit Score,45.1,50.12,2.51,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-04,ESG Risk,27.21,27.79,1.39,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-04,Onboarding Aging,35.86,36.8,1.84,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-04,Supplier Risk Exposure,56.75,59.57,2.98,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-05,Qualification Status,20.17,24.25,1.21,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-05,Audit Score,5.43,10.99,0.55,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-05,ESG Risk,46.89,56.77,2.84,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-05,Onboarding Aging,18.33,20.69,1.03,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-05,Supplier Risk Exposure,13.86,18.57,0.93,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-06,Qualification Status,44.83,52.65,2.63,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-06,Audit Score,50.12,58.65,2.93,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-06,ESG Risk,19.19,18.53,0.93,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-06,Onboarding Aging,50.78,59.39,2.97,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-06,Supplier Risk Exposure,33.35,40.32,2.02,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-07,Qualification Status,33.45,41.28,2.06,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-07,Audit Score,44.27,53.12,2.66,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-07,ESG Risk,53.14,56.73,2.84,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-07,Onboarding Aging,42.16,43.36,2.17,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-07,Supplier Risk Exposure,40.62,50.43,2.52,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-08,Qualification Status,23.99,33.33,1.67,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-08,Audit Score,48.69,51.14,2.56,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-08,ESG Risk,30.19,33.21,1.66,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-08,Onboarding Aging,50.09,54.0,2.7,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-08,Supplier Risk Exposure,11.3,14.57,0.73,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-09,Qualification Status,20.5,23.71,1.19,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-09,Audit Score,32.48,32.37,1.62,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-09,ESG Risk,43.32,42.64,2.13,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-09,Onboarding Aging,12.24,15.6,0.78,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-09,Supplier Risk Exposure,46.66,47.52,2.38,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-10,Qualification Status,44.02,56.01,2.8,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-10,Audit Score,23.48,25.0,1.25,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-10,ESG Risk,20.91,26.56,1.33,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-10,Onboarding Aging,24.96,31.67,1.58,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-10,Supplier Risk Exposure,18.52,19.09,0.95,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-11,Qualification Status,14.38,16.81,0.84,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-11,Audit Score,16.59,19.32,0.97,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-11,ESG Risk,47.42,55.82,2.79,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-11,Onboarding Aging,23.45,27.24,1.36,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-11,Supplier Risk Exposure,58.62,58.22,2.91,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-12,Qualification Status,11.65,14.93,0.75,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-12,Audit Score,47.04,44.92,2.25,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-12,ESG Risk,36.21,45.28,2.26,Red,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-12,Onboarding Aging,35.31,38.18,1.91,Amber,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
supplieronboarding2risk,SupplierOnboarding2Risk,2025-12,Supplier Risk Exposure,45.73,45.14,2.26,Green,Supplier Risk Process Owner,Supplier Portal; GRC; Sourcing; ERP Vendor Master
