ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
plan2produce,Plan2Produce,2025-01,Schedule Adherence,15.73,19.14,0.96,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-09,Scrap Value,39.27,38.35,1.92,Green,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-09,Capacity Utilization,15.22,21.54,1.08,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-09,Production Variance,24.69,27.32,1.37,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-10,Schedule Adherence,37.45,47.66,2.38,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-10,Yield %,82.72,83.46,4.17,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-10,Scrap Value,35.72,46.0,2.3,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-10,Capacity Utilization,41.18,47.96,2.4,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-10,Production Variance,19.77,20.71,1.04,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-11,Schedule Adherence,18.22,22.48,1.12,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-11,Yield %,81.71,95.63,4.78,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-11,Scrap Value,18.19,24.11,1.21,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-11,Capacity Utilization,20.82,27.61,1.38,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-11,Production Variance,16.09,17.52,0.88,Amber,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-12,Schedule Adherence,13.79,16.41,0.82,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-12,Yield %,80.68,97.17,4.86,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-12,Scrap Value,22.05,25.46,1.27,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-12,Capacity Utilization,13.82,19.67,0.98,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
plan2produce,Plan2Produce,2025-12,Production Variance,24.11,27.8,1.39,Red,Plan-to-Produce Process Owner,ERP PP; MES; QMS; Historian
