ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
forecast2plan,Forecast2Plan,2025-01,Forecast Accuracy,51.61,57.37,2.87,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-11,Forecast Accuracy,42.43,49.35,2.47,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-11,Forecast Bias,29.64,32.01,1.6,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-11,S&OP Gap,32.87,37.84,1.89,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-11,Inventory Target Gap,16.0,17.99,0.9,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-11,Demand Volatility,36.73,43.14,2.16,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-12,Forecast Accuracy,28.74,32.31,1.62,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-12,Forecast Bias,32.77,39.57,1.98,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-12,S&OP Gap,28.13,35.34,1.77,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-12,Inventory Target Gap,23.81,25.9,1.29,Amber,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
forecast2plan,Forecast2Plan,2025-12,Demand Volatility,28.84,36.6,1.83,Red,Demand Planning Process Owner,Demand Planning; IBP; ERP PP; Data Warehouse
