ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
return2disposition,Return2Disposition,2025-01,Return Rate,90.62,97.65,4.88,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-07,Return Rate,90.63,91.45,4.57,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-07,Disposition Aging,38.86,43.39,2.17,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-07,Recovery Value,6.77,10.97,0.55,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-07,Scrap Rate,70.92,87.1,4.35,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-07,Resale Rate,79.76,82.15,4.11,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-08,Return Rate,82.67,92.83,4.64,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-08,Disposition Aging,36.86,40.9,2.04,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-08,Recovery Value,34.32,35.53,1.78,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-08,Scrap Rate,70.37,82.17,4.11,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-08,Resale Rate,68.0,78.07,3.9,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-09,Return Rate,81.2,97.13,4.86,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-09,Disposition Aging,12.13,15.12,0.76,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-09,Recovery Value,20.3,23.42,1.17,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-09,Scrap Rate,66.52,81.43,4.07,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-09,Resale Rate,73.13,78.39,3.92,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-10,Return Rate,78.71,94.31,4.72,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-10,Disposition Aging,21.27,25.36,1.27,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-10,Recovery Value,29.2,31.81,1.59,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-10,Scrap Rate,78.77,94.97,4.75,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-10,Resale Rate,81.37,96.18,4.81,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-11,Return Rate,90.96,88.97,4.45,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-11,Disposition Aging,21.02,23.31,1.17,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-11,Recovery Value,41.43,45.21,2.26,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-11,Scrap Rate,101.79,96.24,4.81,Green,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-11,Resale Rate,76.49,93.49,4.67,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-12,Return Rate,84.13,87.01,4.35,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-12,Disposition Aging,21.48,26.13,1.31,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-12,Recovery Value,27.55,37.55,1.88,Red,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-12,Scrap Rate,80.98,83.83,4.19,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
return2disposition,Return2Disposition,2025-12,Resale Rate,85.9,88.53,4.43,Amber,Returns Process Owner,RMA; WMS; QMS; ERP SD
