ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
maintain2operate,Maintain2Operate,2025-01,PM Compliance,17.51,20.06,1.0,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-08,MTBF,16.9,20.99,1.05,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-08,MTTR,49.94,56.44,2.82,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-08,Maintenance Backlog,42.62,46.69,2.33,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-09,PM Compliance,49.58,54.8,2.74,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-09,Downtime Cost,6.94,11.01,0.55,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-09,MTBF,43.91,47.64,2.38,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-09,MTTR,26.02,27.83,1.39,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-09,Maintenance Backlog,13.2,14.3,0.72,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-10,PM Compliance,44.61,48.64,2.43,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-10,Downtime Cost,53.98,56.27,2.81,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-10,MTBF,52.94,55.72,2.79,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-10,MTTR,28.89,29.73,1.49,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-10,Maintenance Backlog,58.87,57.22,2.86,Green,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-11,PM Compliance,11.88,15.72,0.79,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-11,Downtime Cost,37.53,37.51,1.88,Green,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-11,MTBF,17.09,19.82,0.99,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-11,MTTR,47.51,52.15,2.61,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-11,Maintenance Backlog,48.88,58.81,2.94,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-12,PM Compliance,21.65,21.62,1.08,Green,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-12,Downtime Cost,10.01,15.41,0.77,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-12,MTBF,17.38,22.0,1.1,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-12,MTTR,23.31,25.08,1.25,Amber,Maintenance Process Owner,EAM; CMMS; MES; Historian
maintain2operate,Maintain2Operate,2025-12,Maintenance Backlog,43.38,52.4,2.62,Red,Maintenance Process Owner,EAM; CMMS; MES; Historian
