ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-01,Attach Rate,75.9,85.63,4.28,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-04,Attach Rate,84.65,90.56,4.53,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-04,SLA Adherence,19.52,22.66,1.13,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-04,Service Margin,10.58,11.38,0.57,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-04,Renewal Opportunity,54.92,54.05,2.7,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-04,Coverage Gap,35.22,41.6,2.08,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-05,Attach Rate,73.18,78.9,3.95,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-05,SLA Adherence,25.99,27.04,1.35,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-05,Service Margin,47.78,58.57,2.93,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-05,Renewal Opportunity,16.22,18.45,0.92,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-05,Coverage Gap,52.2,51.72,2.59,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-06,Attach Rate,87.78,85.3,4.26,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-06,SLA Adherence,51.05,55.72,2.79,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-06,Service Margin,16.02,19.45,0.97,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-06,Renewal Opportunity,8.6,12.2,0.61,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-06,Coverage Gap,9.63,10.18,0.51,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-07,Attach Rate,79.74,77.92,3.9,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-07,SLA Adherence,21.55,24.07,1.2,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-07,Service Margin,21.11,25.16,1.26,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-07,Renewal Opportunity,20.52,25.0,1.25,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-07,Coverage Gap,22.79,25.16,1.26,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-08,Attach Rate,62.48,75.49,3.77,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-08,SLA Adherence,24.84,27.09,1.35,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-08,Service Margin,24.36,26.46,1.32,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-08,Renewal Opportunity,38.66,37.17,1.86,Green,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-08,Coverage Gap,52.08,54.82,2.74,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-09,Attach Rate,73.51,77.66,3.88,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-09,SLA Adherence,15.31,17.08,0.85,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-09,Service Margin,14.41,19.49,0.97,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-09,Renewal Opportunity,39.71,48.27,2.41,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-09,Coverage Gap,51.58,57.78,2.89,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-10,Attach Rate,77.78,85.76,4.29,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-10,SLA Adherence,14.23,15.26,0.76,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-10,Service Margin,40.46,49.24,2.46,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-10,Renewal Opportunity,28.76,35.22,1.76,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-10,Coverage Gap,24.7,27.23,1.36,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-11,Attach Rate,70.47,75.12,3.76,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-11,SLA Adherence,36.44,42.78,2.14,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-11,Service Margin,20.78,26.59,1.33,Red,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-11,Renewal Opportunity,55.95,58.73,2.94,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-11,Coverage Gap,44.42,45.68,2.28,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-12,Attach Rate,86.56,93.75,4.69,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-12,SLA Adherence,30.3,31.92,1.6,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-12,Service Margin,31.73,34.85,1.74,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-12,Renewal Opportunity,40.47,44.13,2.21,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
installedbase2servicerevenue,InstalledBase2ServiceRevenue,2025-12,Coverage Gap,30.83,34.08,1.7,Amber,Installed Base Service Process Owner,Installed Base; CRM Service; FSM; Billing
