ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
quote2contract,Quote2Contract,2025-01,Contract Cycle Time,12.51,14.7,0.73,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-07,Redline Loops,37.68,45.36,2.27,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-07,Term Deviation Count,31.32,39.01,1.95,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-07,Value At Risk,27.02,29.47,1.47,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-07,Signature Aging,24.5,23.7,1.19,Green,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-08,Contract Cycle Time,23.52,27.17,1.36,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-08,Redline Loops,29.12,29.27,1.46,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-08,Term Deviation Count,13.41,15.88,0.79,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-08,Value At Risk,21.9,24.92,1.25,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-08,Signature Aging,46.16,50.79,2.54,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-09,Contract Cycle Time,22.17,24.94,1.25,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-09,Redline Loops,56.7,53.8,2.69,Green,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-09,Term Deviation Count,32.41,41.08,2.05,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-09,Value At Risk,58.79,59.5,2.98,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-09,Signature Aging,30.74,40.04,2.0,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-10,Contract Cycle Time,37.87,48.17,2.41,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-10,Redline Loops,58.67,59.69,2.98,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-10,Term Deviation Count,33.77,43.44,2.17,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-10,Value At Risk,38.94,49.78,2.49,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-10,Signature Aging,9.81,12.1,0.6,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-11,Contract Cycle Time,35.73,45.2,2.26,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-11,Redline Loops,22.96,26.11,1.31,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-11,Term Deviation Count,54.71,54.18,2.71,Green,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-11,Value At Risk,56.73,58.19,2.91,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-11,Signature Aging,48.61,50.17,2.51,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-12,Contract Cycle Time,37.72,51.52,2.58,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-12,Redline Loops,53.89,58.47,2.92,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-12,Term Deviation Count,17.24,20.88,1.04,Red,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-12,Value At Risk,21.72,23.65,1.18,Amber,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
quote2contract,Quote2Contract,2025-12,Signature Aging,45.0,44.94,2.25,Green,Quote-to-Contract Process Owner,CRM; CPQ; CLM; E-Signature
