ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
procure2pay,Procure2Pay,2025-01,Spend Value,43.07,47.44,2.37,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-05,GR/IR Aging,18.97,20.38,1.02,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-05,Discount Capture %,73.64,88.43,4.42,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-05,Supplier On-Time %,80.24,87.35,4.37,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-06,Spend Value,42.95,51.65,2.58,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-06,Invoice Block Value,20.63,22.96,1.15,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-06,GR/IR Aging,37.33,47.71,2.39,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-06,Discount Capture %,70.05,84.29,4.21,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-06,Supplier On-Time %,78.47,85.81,4.29,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-07,Spend Value,32.92,42.03,2.1,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-07,Invoice Block Value,60.26,59.65,2.98,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-07,GR/IR Aging,17.76,20.66,1.03,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-07,Discount Capture %,70.92,78.82,3.94,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-07,Supplier On-Time %,77.61,77.97,3.9,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-08,Spend Value,20.06,23.19,1.16,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-08,Invoice Block Value,18.99,19.07,0.95,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-08,GR/IR Aging,42.91,52.73,2.64,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-08,Discount Capture %,78.58,88.98,4.45,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-08,Supplier On-Time %,74.76,89.08,4.45,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-09,Spend Value,13.1,15.25,0.76,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-09,Invoice Block Value,23.19,27.82,1.39,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-09,GR/IR Aging,24.59,32.25,1.61,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-09,Discount Capture %,91.82,89.54,4.48,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-09,Supplier On-Time %,75.65,85.77,4.29,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-10,Spend Value,51.1,56.3,2.81,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-10,Invoice Block Value,42.7,42.02,2.1,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-10,GR/IR Aging,50.22,47.89,2.39,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-10,Discount Capture %,85.56,90.66,4.53,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-10,Supplier On-Time %,94.22,95.26,4.76,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-11,Spend Value,40.04,43.89,2.19,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-11,Invoice Block Value,13.28,15.86,0.79,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-11,GR/IR Aging,47.3,51.27,2.56,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-11,Discount Capture %,96.63,95.14,4.76,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-11,Supplier On-Time %,86.84,88.48,4.42,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-12,Spend Value,44.82,55.8,2.79,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-12,Invoice Block Value,17.47,22.87,1.14,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-12,GR/IR Aging,24.13,28.95,1.45,Red,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-12,Discount Capture %,91.65,95.35,4.77,Amber,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
procure2pay,Procure2Pay,2025-12,Supplier On-Time %,102.28,96.57,4.83,Green,Procure-to-Pay Process Owner,ERP MM; Supplier Portal; WMS; ERP FI-AP
