ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
order2cash,Order2Cash,2025-01,Order Value,47.24,47.2,2.36,Green,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-08,Backlog Value,33.2,42.06,2.1,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-08,OTIF %,64.51,75.96,3.8,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-08,Billing Block Value,34.87,44.73,2.24,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-08,Open AR,14.0,18.26,0.91,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-08,DSO,14.47,18.97,0.95,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,Order Value,43.93,55.91,2.8,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,Backlog Value,38.07,41.19,2.06,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,OTIF %,77.74,94.56,4.73,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,Billing Block Value,29.9,30.46,1.52,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,Open AR,38.13,43.75,2.19,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-09,DSO,60.29,59.45,2.97,Green,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,Order Value,25.23,33.33,1.67,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,Backlog Value,14.98,16.45,0.82,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,OTIF %,75.32,79.73,3.99,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,Billing Block Value,23.4,25.13,1.26,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,Open AR,17.37,25.77,1.29,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-10,DSO,53.78,59.25,2.96,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,Order Value,37.25,38.16,1.91,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,Backlog Value,16.89,24.71,1.24,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,OTIF %,92.71,93.28,4.66,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,Billing Block Value,38.87,45.18,2.26,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,Open AR,28.68,37.46,1.87,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-11,DSO,40.02,41.01,2.05,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,Order Value,15.77,20.78,1.04,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,Backlog Value,11.88,15.5,0.78,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,OTIF %,95.28,95.51,4.78,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,Billing Block Value,21.2,27.7,1.39,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,Open AR,14.95,19.05,0.95,Red,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
order2cash,Order2Cash,2025-12,DSO,49.11,51.43,2.57,Amber,Order-to-Cash Process Owner,ERP SD; WMS; TMS; ERP FI-AR
