ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-01,Lead Time,17.75,17.33,0.87,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-04,Lead Time,9.13,10.57,0.53,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-04,WIP Value,14.0,14.5,0.73,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-04,Stock Cover,14.48,18.47,0.92,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-04,Milestone Adherence,27.87,30.98,1.55,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-04,Expedite Count,48.63,59.0,2.95,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-05,Lead Time,36.39,41.85,2.09,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-05,WIP Value,13.55,14.46,0.72,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-05,Stock Cover,48.31,46.84,2.34,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-05,Milestone Adherence,29.17,31.43,1.57,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-05,Expedite Count,11.73,13.97,0.7,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-06,Lead Time,20.18,27.27,1.36,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-06,WIP Value,13.65,18.78,0.94,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-06,Stock Cover,45.19,53.41,2.67,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-06,Milestone Adherence,53.23,51.78,2.59,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-06,Expedite Count,52.81,58.98,2.95,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-07,Lead Time,28.1,31.73,1.59,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-07,WIP Value,47.03,46.41,2.32,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-07,Stock Cover,47.43,53.98,2.7,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-07,Milestone Adherence,45.12,52.46,2.62,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-07,Expedite Count,8.5,11.21,0.56,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-08,Lead Time,11.53,14.04,0.7,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-08,WIP Value,51.78,54.94,2.75,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-08,Stock Cover,41.62,42.91,2.15,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-08,Milestone Adherence,10.16,13.16,0.66,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-08,Expedite Count,53.04,55.44,2.77,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-09,Lead Time,29.61,34.11,1.71,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-09,WIP Value,14.63,16.48,0.82,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-09,Stock Cover,26.26,35.02,1.75,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-09,Milestone Adherence,47.05,50.58,2.53,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-09,Expedite Count,54.56,57.43,2.87,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-10,Lead Time,10.64,12.58,0.63,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-10,WIP Value,28.57,34.57,1.73,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-10,Stock Cover,28.82,32.4,1.62,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-10,Milestone Adherence,18.24,19.56,0.98,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-10,Expedite Count,18.87,23.8,1.19,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-11,Lead Time,16.66,20.0,1.0,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-11,WIP Value,13.33,18.74,0.94,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-11,Stock Cover,20.67,24.72,1.24,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-11,Milestone Adherence,53.51,52.43,2.62,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-11,Expedite Count,46.78,50.49,2.52,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-12,Lead Time,50.6,50.41,2.52,Green,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-12,WIP Value,16.54,22.88,1.14,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-12,Stock Cover,48.66,55.41,2.77,Red,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-12,Milestone Adherence,28.49,30.52,1.53,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
make_strategy,Make2Stock / Make2Order / Engineer2Order,2025-12,Expedite Count,28.15,30.04,1.5,Amber,Manufacturing Strategy Process Owner,ERP PP; PLM; MES; APS
