ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
incident2action,Incident2Action,2025-01,Incident Rate,59.43,75.32,3.77,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-04,Severity Score,37.42,36.05,1.8,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-04,Response Time,8.69,10.49,0.52,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-04,Overdue Actions,21.45,29.32,1.47,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-04,Risk Exposure,24.05,29.77,1.49,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-05,Incident Rate,83.38,83.12,4.16,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-05,Severity Score,26.59,33.49,1.67,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-05,Response Time,29.73,30.13,1.51,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-05,Overdue Actions,30.09,35.47,1.77,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-05,Risk Exposure,29.95,36.48,1.82,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-06,Incident Rate,89.79,89.35,4.47,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-06,Severity Score,40.68,46.99,2.35,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-06,Response Time,37.94,39.73,1.99,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-06,Overdue Actions,29.46,37.46,1.87,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-06,Risk Exposure,27.3,34.73,1.74,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-07,Incident Rate,63.25,76.43,3.82,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-07,Severity Score,27.39,29.39,1.47,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-07,Response Time,42.75,47.18,2.36,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-07,Overdue Actions,32.22,33.94,1.7,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-07,Risk Exposure,41.12,40.63,2.03,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-08,Incident Rate,83.65,83.65,4.18,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-08,Severity Score,44.37,48.53,2.43,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-08,Response Time,34.16,38.07,1.9,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-08,Overdue Actions,14.54,18.1,0.91,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-08,Risk Exposure,16.53,19.29,0.96,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-09,Incident Rate,79.7,79.04,3.95,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-09,Severity Score,21.2,27.09,1.35,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-09,Response Time,39.5,39.37,1.97,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-09,Overdue Actions,17.73,19.78,0.99,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-09,Risk Exposure,25.28,27.01,1.35,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-10,Incident Rate,76.91,93.3,4.67,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-10,Severity Score,57.28,56.17,2.81,Green,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-10,Response Time,22.43,25.94,1.3,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-10,Overdue Actions,53.72,59.31,2.97,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-10,Risk Exposure,12.56,14.78,0.74,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-11,Incident Rate,85.46,93.11,4.66,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-11,Severity Score,9.93,15.55,0.78,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-11,Response Time,22.0,24.73,1.24,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-11,Overdue Actions,18.14,20.76,1.04,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-11,Risk Exposure,24.4,29.48,1.47,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-12,Incident Rate,84.03,89.0,4.45,Amber,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-12,Severity Score,29.58,36.16,1.81,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-12,Response Time,13.31,16.85,0.84,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-12,Overdue Actions,23.26,26.4,1.32,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
incident2action,Incident2Action,2025-12,Risk Exposure,26.13,30.11,1.51,Red,Incident-to-Action Process Owner,EHS; GRC; Action Tracking; HR
