ProcessID,ProcessName,Period,KPIName,ActualValue,TargetValue,Tolerance,Status,OwnerRole,SourceSystems
hire2retire,Hire2Retire,2025-01,Time To Hire,15.09,18.17,0.91,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-09,Safety Incident Rate,78.29,82.15,4.11,Amber,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-10,Time To Hire,45.46,57.51,2.88,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-10,Absence Rate,74.39,80.11,4.01,Amber,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-10,Skill Gap,42.06,50.58,2.53,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-10,Training Compliance,11.72,14.61,0.73,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-10,Safety Incident Rate,82.65,85.38,4.27,Amber,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-11,Time To Hire,41.97,55.76,2.79,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-11,Absence Rate,82.17,94.54,4.73,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-11,Skill Gap,19.84,23.81,1.19,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-11,Training Compliance,20.67,27.36,1.37,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-11,Safety Incident Rate,67.81,79.47,3.97,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-12,Time To Hire,42.38,43.29,2.16,Amber,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-12,Absence Rate,97.72,94.95,4.75,Green,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-12,Skill Gap,10.78,15.35,0.77,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-12,Training Compliance,12.39,14.83,0.74,Red,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
hire2retire,Hire2Retire,2025-12,Safety Incident Rate,92.46,93.89,4.69,Amber,Hire-to-Retire Process Owner,HCM; Time Management; Learning; EHS
