ExceptionID,ProblemType,Severity,CustomerID,ProductID,RelatedDocument,EventDate,AmountExposure,Reason,RecommendedAction,OwnerRole
EX-OTIF-DLV000066,Late Or Short Delivery,High,C0058,P0002,DLV000066,2025-11-16,597795.86,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0031,Customer Churn Risk,High,C0031,,C0031,2025-12-14,591575.01,Risk score 70; 140 days since last order; late/short=7; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0029,Customer Churn Risk,High,C0029,,C0029,2025-10-31,580850.05,Risk score 55; 184 days since last order; late/short=4; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0039,Customer Churn Risk,Medium,C0039,,C0039,2026-01-27,559590.7,Risk score 25; 96 days since last order; late/short=7; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0040,Customer Churn Risk,Medium,C0040,,C0040,2026-04-03,537119.62,Risk score 32; 30 days since last order; late/short=10; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-CHURN-C0055,Customer Churn Risk,Medium,C0055,,C0055,2026-03-01,535789.82,Risk score 25; 63 days since last order; late/short=6; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-ATP-SO000195,ATP / Availability Issue,Medium,C0059,P0003,SO000195,2026-02-03,535716.38,ATP status Manual Review for requested date 2026-03-28,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000162,Late Or Short Delivery,High,C0059,P0003,DLV000162,2026-03-20,535716.38,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000083,ATP / Availability Issue,Medium,C0006,P0004,SO000083,2025-11-02,527394.4,ATP status Manual Review for requested date 2025-12-24,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000069,Late Or Short Delivery,High,C0006,P0004,DLV000069,2025-12-08,527394.4,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-BILL-INV000106,Billing Block,High,C0018,,INV000106,2025-07-29,514984.11,Invoice is blocked and may delay revenue/cash,"Resolve pricing, tax, delivery or master-data block and rebill if required",Billing / Finance
EX-ATP-SO000105,ATP / Availability Issue,Medium,C0022,P0002,SO000105,2025-12-24,511473.6,ATP status Partial for requested date 2026-01-06,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000087,Late Or Short Delivery,High,C0022,P0002,DLV000087,2026-02-11,511473.6,OTIF status Late/Short via carrier Kuehne+Nagel,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0002,Customer Churn Risk,High,C0002,,C0002,2025-12-19,505942.63,Risk score 60; 135 days since last order; late/short=9; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-OTIF-DLV000104,Late Or Short Delivery,High,C0005,P0004,DLV000104,2026-04-12,504183.91,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0042,Customer Churn Risk,Medium,C0042,,C0042,2026-02-14,492354.59,Risk score 32; 78 days since last order; late/short=8; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-ATP-SO000244,ATP / Availability Issue,Medium,C0029,P0036,SO000244,2025-09-01,484812.73,ATP status Manual Review for requested date 2025-10-18,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000203,Late Or Short Delivery,High,C0029,P0036,DLV000203,2025-09-10,484812.73,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000043,ATP / Availability Issue,Medium,C0059,P0003,SO000043,2025-05-22,474131.58,ATP status Manual Review for requested date 2025-06-01,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000036,Late Or Short Delivery,High,C0059,P0003,DLV000036,2025-06-14,474131.58,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0011,Customer Churn Risk,Medium,C0011,,C0011,2026-01-23,463449.63,Risk score 49; 100 days since last order; late/short=11; disputes=1,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-ATP-SO000259,ATP / Availability Issue,High,C0056,P0027,SO000259,2026-03-02,458381.82,ATP status Shortage for requested date 2026-04-13,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000218,Late Or Short Delivery,High,C0056,P0027,DLV000218,2026-04-06,458381.82,OTIF status Late/Short via carrier Kuehne+Nagel,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000260,ATP / Availability Issue,Medium,C0045,P0026,SO000260,2025-07-20,438654.4,ATP status Manual Review for requested date 2025-08-10,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-ATP-SO000225,ATP / Availability Issue,Medium,C0032,P0027,SO000225,2026-02-10,428128.5,ATP status Manual Review for requested date 2026-02-17,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000188,Late Or Short Delivery,High,C0032,P0027,DLV000188,2026-04-13,428128.5,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0025,Customer Churn Risk,Medium,C0025,,C0025,2026-03-14,424005.96,Risk score 45; 50 days since last order; late/short=6; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-ATP-SO000100,ATP / Availability Issue,Medium,C0052,P0024,SO000100,2025-04-25,416306.8,ATP status Manual Review for requested date 2025-06-18,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-ATP-SO000178,ATP / Availability Issue,Medium,C0053,P0012,SO000178,2025-10-06,413866.12,ATP status Manual Review for requested date 2025-11-05,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000148,Late Or Short Delivery,High,C0053,P0012,DLV000148,2025-12-01,413866.12,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000204,ATP / Availability Issue,High,C0057,P0002,SO000204,2025-06-01,404350.4,ATP status Shortage for requested date 2025-07-10,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000170,Late Or Short Delivery,High,C0057,P0002,DLV000170,2025-08-06,404350.4,OTIF status Late/Short via carrier DB Schenker,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000164,ATP / Availability Issue,Medium,C0019,P0016,SO000164,2025-02-11,403300.08,ATP status Partial for requested date 2025-04-06,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000135,Late Or Short Delivery,High,C0019,P0016,DLV000135,2025-04-15,403300.08,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000134,ATP / Availability Issue,Medium,C0027,P0024,SO000134,2025-04-25,403223.68,ATP status Manual Review for requested date 2025-06-16,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000109,Late Or Short Delivery,High,C0027,P0024,DLV000109,2025-07-08,403223.68,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-OTIF-DLV000005,Late Or Short Delivery,High,C0043,P0028,DLV000005,2025-12-31,400226.62,OTIF status Late/Short via carrier Kuehne+Nagel,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-OTIF-DLV000212,Late Or Short Delivery,High,C0058,P0021,DLV000212,2025-10-25,395130.06,OTIF status Late/Short via carrier DB Schenker,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-OTIF-DLV000004,Late Or Short Delivery,High,C0010,P0010,DLV000004,2025-12-27,391790.31,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0009,Customer Churn Risk,Medium,C0009,,C0009,2026-04-06,390439.16,Risk score 32; 27 days since last order; late/short=7; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-ATP-SO000022,ATP / Availability Issue,Medium,C0018,P0005,SO000022,2026-01-14,389640.0,ATP status Partial for requested date 2026-02-13,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-ATP-SO000124,ATP / Availability Issue,Medium,C0056,P0012,SO000124,2025-12-05,376867.7,ATP status Manual Review for requested date 2025-12-23,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000100,Late Or Short Delivery,High,C0056,P0012,DLV000100,2026-01-07,376867.7,OTIF status Late/Short via carrier DB Schenker,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-CHURN-C0028,Customer Churn Risk,Medium,C0028,,C0028,2026-03-14,376317.57,Risk score 25; 50 days since last order; late/short=10; disputes=0,"Account owner retention call, service recovery, delivery review, commercial offer validation",Sales / Customer Success
EX-AR-INV000135,Open AR / Cash Risk,Medium,C0019,,INV000135,2025-06-01,371354.9,Open amount with dunning level 1; dispute=False,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-ATP-SO000084,ATP / Availability Issue,Medium,C0055,P0012,SO000084,2026-01-03,366473.36,ATP status Partial for requested date 2026-02-15,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000070,Late Or Short Delivery,High,C0055,P0012,DLV000070,2026-01-15,366473.36,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000187,ATP / Availability Issue,Medium,C0036,P0016,SO000187,2025-11-16,361818.88,ATP status Partial for requested date 2025-12-05,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000155,Late Or Short Delivery,High,C0036,P0016,DLV000155,2026-02-04,361818.88,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000071,ATP / Availability Issue,High,C0054,P0005,SO000071,2025-10-27,349557.09,ATP status Shortage for requested date 2025-12-15,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000060,Late Or Short Delivery,High,C0054,P0005,DLV000060,2025-11-10,349557.09,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000009,ATP / Availability Issue,Medium,C0017,P0004,SO000009,2025-09-02,345687.7,ATP status Partial for requested date 2025-09-09,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000009,Late Or Short Delivery,High,C0017,P0004,DLV000009,2025-11-06,345687.7,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000081,ATP / Availability Issue,Medium,C0045,P0005,SO000081,2025-08-16,345122.38,ATP status Partial for requested date 2025-10-12,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-AR-INV000036,Open AR / Cash Risk,Medium,C0059,,INV000036,2025-07-16,344351.3,Open amount with dunning level 2; dispute=False,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-ATP-SO000157,ATP / Availability Issue,Medium,C0004,P0005,SO000157,2025-04-03,341616.47,ATP status Partial for requested date 2025-05-03,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-ATP-SO000104,ATP / Availability Issue,High,C0031,P0003,SO000104,2025-12-14,335792.16,ATP status Shortage for requested date 2026-01-17,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000086,Late Or Short Delivery,High,C0031,P0003,DLV000086,2026-02-04,335792.16,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000139,ATP / Availability Issue,High,C0056,P0004,SO000139,2025-06-01,333498.18,ATP status Shortage for requested date 2025-07-16,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000114,Late Or Short Delivery,High,C0056,P0004,DLV000114,2025-07-21,333498.18,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000226,ATP / Availability Issue,Medium,C0017,P0024,SO000226,2025-10-13,332323.14,ATP status Partial for requested date 2025-11-09,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000189,Late Or Short Delivery,High,C0017,P0024,DLV000189,2025-11-16,332323.14,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000026,ATP / Availability Issue,Medium,C0046,P0031,SO000026,2026-02-04,318725.89,ATP status Partial for requested date 2026-03-16,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000022,Late Or Short Delivery,High,C0046,P0031,DLV000022,2026-04-18,318725.89,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-OTIF-DLV000183,Late Or Short Delivery,High,C0002,P0004,DLV000183,2025-05-18,310510.66,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000168,ATP / Availability Issue,Medium,C0017,P0036,SO000168,2025-05-16,310183.08,ATP status Manual Review for requested date 2025-06-06,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000138,Late Or Short Delivery,High,C0017,P0036,DLV000138,2025-07-21,310183.08,OTIF status Late/Short via carrier DB Schenker,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000249,ATP / Availability Issue,Medium,C0005,P0020,SO000249,2025-03-02,307808.76,ATP status Manual Review for requested date 2025-04-22,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000208,Late Or Short Delivery,High,C0005,P0020,DLV000208,2025-05-07,307808.76,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000230,ATP / Availability Issue,Medium,C0058,P0005,SO000230,2025-12-10,297795.33,ATP status Partial for requested date 2025-12-23,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000192,Late Or Short Delivery,High,C0058,P0005,DLV000192,2026-02-10,297795.33,OTIF status Late/Short via carrier UPS,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000218,ATP / Availability Issue,Medium,C0013,P0004,SO000218,2025-11-19,296280.27,ATP status Manual Review for requested date 2025-11-29,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000181,Late Or Short Delivery,High,C0013,P0004,DLV000181,2025-12-22,296280.27,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000254,ATP / Availability Issue,Medium,C0051,P0026,SO000254,2025-08-20,288870.99,ATP status Partial for requested date 2025-10-15,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000213,Late Or Short Delivery,High,C0051,P0026,DLV000213,2025-10-22,288870.99,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000234,ATP / Availability Issue,Medium,C0019,P0020,SO000234,2026-03-11,286531.4,ATP status Manual Review for requested date 2026-04-09,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000195,Late Or Short Delivery,High,C0019,P0020,DLV000195,2026-04-02,286531.4,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-OTIF-DLV000173,Late Or Short Delivery,High,C0023,P0012,DLV000173,2026-02-27,273779.73,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-AR-INV000066,Open AR / Cash Risk,High,C0058,,INV000066,2026-01-04,272912.93,Open amount with dunning level 2; dispute=True,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-OTIF-DLV000206,Late Or Short Delivery,High,C0051,P0032,DLV000206,2025-06-15,268172.32,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000140,ATP / Availability Issue,Medium,C0042,P0020,SO000140,2025-09-05,262278.23,ATP status Manual Review for requested date 2025-10-23,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000115,Late Or Short Delivery,High,C0042,P0020,DLV000115,2025-10-16,262278.23,OTIF status Late/Short via carrier DHL,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-ATP-SO000193,ATP / Availability Issue,Medium,C0046,P0028,SO000193,2025-03-01,262118.33,ATP status Partial for requested date 2025-04-01,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000161,Late Or Short Delivery,High,C0046,P0028,DLV000161,2025-03-31,262118.33,OTIF status Late/Short via carrier Maersk,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-AR-INV000004,Open AR / Cash Risk,High,C0010,,INV000004,2026-01-30,260026.69,Open amount with dunning level 1; dispute=True,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-AR-INV000188,Open AR / Cash Risk,High,C0032,,INV000188,2026-06-13,260000.11,Open amount with dunning level 2; dispute=True,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-OTIF-DLV000120,Late Or Short Delivery,High,C0012,P0034,DLV000120,2026-02-05,258451.05,OTIF status Late/Short via carrier FedEx,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
EX-AR-INV000170,Open AR / Cash Risk,High,C0057,,INV000170,2025-10-10,257981.59,Open amount with dunning level 2; dispute=True,"Collections follow-up, dispute resolution, credit hold review, root-cause coding",Accounts Receivable
EX-BILL-INV000189,Billing Block,High,C0017,,INV000189,2025-11-19,254129.46,Invoice is blocked and may delay revenue/cash,"Resolve pricing, tax, delivery or master-data block and rebill if required",Billing / Finance
EX-ATP-SO000250,ATP / Availability Issue,Medium,C0050,P0012,SO000250,2025-06-23,252867.52,ATP status Manual Review for requested date 2025-08-15,"Check constrained supply, substitute product, expedite production or reset confirmed date",Supply Chain / Order Management
EX-OTIF-DLV000209,Late Or Short Delivery,High,C0050,P0012,DLV000209,2025-09-10,252867.52,OTIF status Late/Short via carrier DB Schenker,"Review warehouse pick/pack, carrier performance, shortage reason and customer communication",Warehouse / Logistics
